kanji;strokes;grade;freq;jlpt_old;jlpt_new;meanings;readings_on;readings_kun;wk_level;wk_meanings;wk_readings_on;wk_readings_kun;wk_radicals;fr_meanings
極;12;4.0;460.0;2.0;2.0;[Poles, Settlement, Conclusion, End, Highest Rank, Electric Poles, Very, Extremely, Most, Highly, 10**48];[きょく, ごく];[きわ.める, きわ.まる, きわ.まり, きわ.み, き.める, -ぎ.め, き.まる];27;[Extreme];[きょく, ごく];[きわ];[Tree, Beggar, Mouth, Stool, Ground];pôle, très extrêmement hauteur, extrême porter, arriver à l'extrême
種;14;4.0;461.0;2.0;3.0;[Species, Kind, Class, Variety, Seed];[しゅ];[たね, -ぐさ];18;[Kind, Type];[しゅ];[たね, ぐさ];[Grain, Heavy];variété, sorte, type graine, semence, cause
美;9;3.0;462.0;2.0;3.0;[Beauty, Beautiful];[び, み];[うつく.しい];9;[Beauty, Beautiful];[び, み];[うつく];[Horns, King, Big];beau, excellent
岡;8;8.0;463.0;;;[Mount, Hill, Knoll];[こう];[おか];21;[Hill];[];[おか];[Head, Horns, Ground, Mountain];colline
影;15;8.0;464.0;1.0;1.0;[Shadow, Silhouette, Phantom];[えい];[かげ];25;[Shadow];[えい];[かげ];[Sun, Capital, Hair];ombre, image, lumière, silhouette
命;8;3.0;465.0;2.0;3.0;[Fate, Command, Decree, Destiny, Life, Appoint];[めい, みょう];[いのち];11;[Fate];[めい, みょう];[いのち];[Orders, Mouth];vie, destin, ordre, commandement
含;7;8.0;466.0;2.0;2.0;[Contain, Include, Hold In The Mouth, Bear In Mind, Understand, Cherish];[がん];[ふく.む, ふく.める];25;[Include];[がん];[ふく];[Now, Mouth];contenir, garder, inclure inclure, donner des instructions
福;13;3.0;467.0;2.0;3.0;[Blessing, Fortune, Luck, Wealth];[ふく];[];13;[Luck, Fortune];[ふく];[];[Spirit, Scarecrow];fortune, félicité, bonheur
蔵;15;6.0;468.0;2.0;2.0;[Storehouse, Hide, Own, Have, Possess];[ぞう, そう];[くら, おさ.める, かく.れる];33;[Storehouse];[ぞう];[くら];[Storehouse];entrepôt, magasin
量;12;4.0;469.0;2.0;2.0;[Quantity, Measure, Weight, Amount, Consider, Estimate, Surmise];[りょう];[はか.る];24;[Quantity, Amount];[りょう];[はか];[Dawn, Village];quantité, volume mesurer, peser
望;11;4.0;470.0;2.0;3.0;[Ambition, Full Moon, Hope, Desire, Aspire To, Expect];[ぼう, もう];[のぞ.む, もち];14;[Hope];[ぼう];[のぞ];[Death, Moon, King];souhaiter, désirer
松;8;4.0;471.0;1.0;1.0;[Pine Tree];[しょう];[まつ];14;[Pine, Pine Tree];[しょう];[まつ];[Tree, Public];pin, résineux
非;8;5.0;472.0;2.0;3.0;[Un-, Mistake, Negative, Injustice, Non-];[ひ];[あら.ず];17;[Injustice, Negative, Mistake];[ひ];[];[Criminal];tort, faute, erreur, non-
撃;15;8.0;473.0;1.0;1.0;[Beat, Attack, Defeat, Conquer];[げき];[う.つ];28;[Attack];[げき];[う];[Car, Weapon, Hand];attaquer, faire feu, tirer avec une arme
佐;7;8.0;474.0;1.0;1.0;[Assistant, Help];[さ];[];47;[Help];[さ];[];[Leader, Narwhal, Construction];aide
核;10;8.0;475.0;1.0;1.0;[Nucleus, Core, Kernel];[かく];[];36;[Nucleus];[かく];[];[Tree, Slice];noyau, coeur, âme
観;18;4.0;476.0;2.0;3.0;[Outlook, Look, Appearance, Condition, View];[かん];[み.る, しめ.す];22;[View];[かん];[み];[Arrow, Turkey, See];aspect, vue, apparence
察;14;4.0;477.0;2.0;3.0;[Guess, Presume, Surmise, Judge, Understand];[さつ];[];17;[Guess];[さつ];[さっ];[Roof, Festival];supposer, deviner, comprendre, juger
整;16;3.0;478.0;2.0;1.0;[Organize, Arranging, Tune, Tone, Meter, Key (music)];[せい];[ととの.える, ととの.う];13;[Arrange, Organize];[せい];[ととの];[Bundle, Winter, Correct];être en ordre, être réuni mettre en ordre
段;9;6.0;479.0;2.0;3.0;[Grade, Steps, Stairs];[だん, たん];[];27;[Steps, Stairs];[だん];[];[Comb, Weapon];étape, degré, rang
横;15;3.0;480.0;2.0;3.0;[Sideways, Side, Horizontal, Width, Woof, Unreasonable, Perverse];[おう];[よこ];10;[Side, Horizontal];[おう];[よこ];[Tree, Yellow];côté, flanc, horizontal
融;16;8.0;481.0;1.0;1.0;[Dissolve, Melt];[ゆう];[と.ける, と.かす];31;[Dissolve];[ゆう];[];[Bully, Insect];fondre, circuler
型;9;4.0;482.0;2.0;2.0;[Mould, Type, Model];[けい];[かた, -がた];24;[Model, Type];[けい];[かた];[Lantern, Knife, Dirt];type, modèle, moule
白;5;1.0;483.0;4.0;5.0;[White];[はく, びゃく];[しろ, しら-, しろ.い];2;[White];[はく];[しろ, しら];[White];blanc, pureté
深;11;3.0;484.0;2.0;3.0;[Deep, Heighten, Intensify, Strengthen];[しん];[ふか.い, -ぶか.い, ふか.まる, ふか.める, み-];12;[Deep];[しん];[ふか];[Tsunami, Pi, Tree];profond, intense, profondeur, approfondir, s'approfondir
字;6;1.0;485.0;3.0;4.0;[Character, Letter, Word, Section Of Village];[じ];[あざ, あざな, -な];4;[Letter, Character, Symbol];[じ];[];[Roof, Child];caractère, lettre
答;12;2.0;486.0;3.0;4.0;[Solution, Answer];[とう];[こた.える, こた.え];8;[Answer, Response, Reply];[とう];[こた];[Bamboo, Suit];répondre, réponse, solution
夜;8;2.0;487.0;3.0;4.0;[Night, Evening];[や];[よ, よる];6;[Night, Evening];[や];[よ, よる];[Lid, Leader, Winter, Drop];soir, nuit
製;14;5.0;488.0;2.0;1.0;[Made In..., Manufacture];[せい];[];24;[Manufacture];[せい];[];[Control, Clothes];production, fabrication
票;11;4.0;489.0;1.0;1.0;[Ballot, Label, Ticket, Sign];[ひょう];[];25;[Ballot];[ひょう];[];[Helicopter, Jackhammer];étiquette, bulletin, billet, bordereau
況;8;8.0;490.0;2.0;2.0;[Condition, Situation];[きょう];[まし.て, いわ.んや, おもむき];25;[Condition];[きょう];[];[Tsunami, Older Brother];circonstances, conjoncture, situation
音;9;1.0;491.0;3.0;4.0;[Sound, Noise];[おん, いん, -のん];[おと, ね];5;[Sound];[おん];[おと, ね];[Stand, Sun];bruit, son
申;5;3.0;492.0;2.0;3.0;[Have The Honor To, Sign Of The Monkey, 3-5pm, Ninth Sign Of Chinese Zodiac];[しん];[もう.す, もう.し-, さる];4;[Say Humbly, Say, Humbly Say];[しん];[もう];[Cross, Mouth];dire (degré plus soutenu)
様;14;3.0;493.0;2.0;3.0;[Esq., Way, Manner, Situation, Polite Suffix];[よう, しょう];[さま, さん];13;[Formal Name Title, Formal Name Ender, Manner];[よう];[さま];[Tree, Sheep, Water];manière, apparence, condition condition, M., Mme., Melle.
財;10;5.0;494.0;2.0;3.0;[Property, Money, Wealth, Assets];[ざい, さい, ぞく];[たから];19;[Wealth];[さい, ざい];[];[Shellfish, Genius];fortune, richesse, argent
港;12;3.0;495.0;2.0;3.0;[Harbor];[こう];[みなと];12;[Harbor, Port, Harbour];[こう];[みなと];[Tsunami, Together, Oneself];port
識;19;5.0;496.0;2.0;3.0;[Discriminating, Know, Write];[しき];[し.る, しる.す];17;[Discerning, Discriminating, Know];[しき];[];[Say, Sound, Drunkard];connaissance, savoir
注;8;3.0;497.0;3.0;4.0;[Pour, Irrigate, Shed (tears), Flow Into, Concentrate On, Notes, Comment, Annotate];[ちゅう];[そそ.ぐ, さ.す, つ.ぐ];11;[Pour];[ちゅう];[そそ, さ, つ];[Tsunami, Master];note, commentaire verser
呼;8;6.0;498.0;2.0;3.0;[Call, Call Out To, Invite];[こ];[よ.ぶ];23;[Call];[こ];[よ];[Mouth, Peace];appeler, convoquer, dénommer
渉;11;8.0;499.0;1.0;1.0;[Ford, Go Cross, Transit, Ferry, Import, Involve];[しょう];[わた.る];17;[Ford];[しょう];[わた];[Tsunami, Walk];traverser, être en rapport, être relié à
達;12;4.0;500.0;2.0;3.0;[Accomplished, Reach, Arrive, Attain];[たつ, だ];[-たち];18;[Attain, Plural];[たつ];[たち];[Scooter, Happiness];suffixe de pluriel atteindre, arriver
良;7;4.0;501.0;2.0;3.0;[Good, Pleasing, Skilled];[りょう];[よ.い, -よ.い, い.い, -い.い];11;[Good];[りょう];[よ, い];[Drop, Root];bon, bien, satisfaisant
響;20;8.0;502.0;1.0;1.0;[Echo, Sound, Resound, Ring, Vibrate];[きょう];[ひび.く];25;[Echo, Reverberation, Resound];[きょう];[ひび];[Poop, Root, Building, Sound];sonner, résonner, retentir
阪;7;8.0;503.0;;;[Heights, Slope];[はん];[さか];16;[Heights, Slope];[はん];[さか];[Building, Anti];pente
帰;10;2.0;504.0;3.0;4.0;[Homecoming, Arrive At, Lead To, Result In];[き];[かえ.る, かえ.す, おく.る, とつ.ぐ];15;[Return, Return Home];[き];[かえ];[Knife, Wolverine, Forehead, Towel];revenir, rentrer, retourner
針;10;6.0;505.0;2.0;2.0;[Needle, Pin, Staple, Stinger];[しん];[はり];26;[Needle];[しん];[はり];[Gold, Cross];aiguille
専;9;6.0;506.0;2.0;2.0;[Specialty, Exclusive, Mainly, Solely];[せん];[もっぱ.ら];16;[Specialty];[せん];[もっぱ];[Cross, Rice Paddy, Measurement];entièrement, exclusivement, principalement
推;11;6.0;507.0;1.0;1.0;[Conjecture, Infer, Guess, Suppose, Support, Push (for)];[すい];[お.す];34;[Infer];[すい];[お];[Fingers, Turkey];recommander, déduire
谷;7;2.0;508.0;2.0;2.0;[Valley];[こく];[たに, きわ.まる];5;[Valley];[こく];[たに];[Fins, Hat, Mouth];vallée
古;5;2.0;509.0;4.0;4.0;[Old];[こ];[ふる.い, ふる-, -ふる.す];3;[Old];[こ];[ふる];[Old];ancien, vieux
候;10;4.0;510.0;2.0;3.0;[Climate, Season, Weather, Wait For, Expect];[こう];[そうろう];25;[Climate, Weather, Candidate];[こう];[];[Leader, Stick, Hook, Arrow];saison, temps
史;5;4.0;511.0;2.0;2.0;[History, Chronicle];[し];[];19;[History];[し];[];[History];chronique, histoire
天;4;1.0;512.0;4.0;5.0;[Heavens, Sky, Imperial];[てん];[あまつ, あめ, あま-];2;[Heaven];[てん];[あま];[Heaven];voûte céleste, ciel
階;12;3.0;513.0;2.0;2.0;[Storey, Stair, Counter For Storeys Of A Building];[かい];[きざはし];12;[Floor, Story, Storey];[かい];[];[Building, Compare, White];étage, niveau
程;12;5.0;514.0;2.0;3.0;[Extent, Degree, Law, Formula, Distance, Limits, Amount];[てい];[ほど, -ほど];28;[Extent];[てい];[ほど];[Grain, Mouth, King];degré, mesure
満;12;4.0;515.0;2.0;3.0;[Full, Fullness, Enough, Satisfy];[まん, ばん];[み.ちる, み.つ, み.たす];25;[Full];[まん];[み];[Tsunami, Flowers, Both];combler, remplir
敗;11;4.0;516.0;2.0;3.0;[Failure, Defeat, Reversal];[はい];[やぶ.れる];17;[Failure, Fail];[はい];[やぶ];[Shellfish, Winter];perdre, être défait, échouer
管;14;4.0;517.0;2.0;2.0;[Pipe, Tube, Wind Instrument, Drunken Talk, Control, Jurisdiction];[かん];[くだ];24;[Pipe];[かん];[くだ];[Bamboo, Roof, Bear];tuyau, instrument à vent, officiel, administratif tuyau, conduit
値;10;6.0;518.0;2.0;3.0;[Price, Cost, Value];[ち];[ね, あたい];22;[Value, Price];[ち];[ね, あたい];[Leader, Fix];prix, valeur
歌;14;2.0;519.0;3.0;4.0;[Song, Sing];[か];[うた, うた.う];10;[Song, Sing];[か];[うた];[Lip Ring, Lack];poème, chant, chanter
買;12;2.0;520.0;4.0;4.0;[Buy];[ばい];[か.う];8;[Buy];[ばい];[か];[Net, Shellfish];acheter
突;8;8.0;521.0;2.0;3.0;[Stab, Protruding, Thrust, Pierce, Prick, Collision, Sudden];[とつ, か];[つ.く];26;[Stab, Thrust];[とつ];[つ];[Hole, Big];pousser, frapper, assaillir
兵;7;4.0;522.0;2.0;2.0;[Soldier, Private, Troops, Army, Warfare, Strategy, Tactics];[へい, ひょう];[つわもの];17;[Soldier];[へい, ひょう];[];[Axe, Ground, Fins];soldat, guerrier
接;11;5.0;523.0;2.0;2.0;[Touch, Contact, Adjoin, Piece Together];[せつ, しょう];[つ.ぐ];26;[Adjoin];[せつ];[つ];[Fingers, Stand, Woman];être en contact, toucher, recevoir
請;15;8.0;524.0;1.0;1.0;[Solicit, Invite, Ask];[せい, しん, しょう];[こ.う, う.ける];29;[Request];[せい, しん, しょう];[う, こ];[Say, Blue];demander un appui, solliciter recevoir
器;15;4.0;525.0;2.0;1.0;[Utensil, Vessel, Receptacle, Implement, Instrument, Ability, Container, Tool, Set];[き];[うつわ];13;[Container, Vessel];[き];[うつわ];[Big, Products];ustensile, outil, instrument
士;3;4.0;526.0;1.0;1.0;[Gentleman, Scholar, Samurai, Samurai Radical (no. 33)];[し];[さむらい];13;[Samurai];[し];[さむらい];[Samurai];guerrier, samuraï
光;6;2.0;527.0;3.0;3.0;[Ray, Light];[こう];[ひか.る, ひかり];5;[Sunlight, Light];[こう];[ひかり, ひか];[Triceratops, Pi];étinceler, briller, lumière, clarté, éclat
討;10;6.0;528.0;1.0;1.0;[Chastise, Attack, Defeat, Destroy, Conquer];[とう];[う.つ];26;[Chastise];[とう];[];[Say, Measurement];attaquer, châtier
路;13;3.0;529.0;2.0;3.0;[Path, Route, Road, Distance];[ろ, る];[-じ, みち];10;[Road];[ろ];[じ, みち];[Foot, Kiss];chemin, route, voie
悪;11;3.0;530.0;3.0;4.0;[Bad, Vice, Rascal, False, Evil, Wrong];[あく, お];[わる.い, わる-, あ.し, にく.い, -にく.い, ああ, いずくに, いずくんぞ, にく.む];12;[Bad, Evil];[あく, お];[わる];[Asia, Heart];méchant, mauvais, néfaste
科;9;2.0;531.0;2.0;3.0;[Department, Course, Section];[か];[];6;[Course, Science, Department];[か];[];[Grain, Ladle];section, département, branche, famille
攻;7;8.0;532.0;1.0;1.0;[Aggression, Attack, Criticize, Polish];[こう];[せ.める];28;[Aggression];[こう];[せ];[Construction, Winter];attaquer
崎;11;8.0;533.0;1.0;1.0;[Promontory, Cape, Spit];[き];[さき, さい, みさき];23;[Cape];[き];[さき];[Mountain, Big, Lip Ring];cap, pointe
督;13;8.0;534.0;1.0;1.0;[Coach, Command, Urge, Lead, Supervise];[とく];[];29;[Coach];[とく];[];[Above, Small, Stool, Eye];conduite, direction, supervision
授;11;5.0;535.0;2.0;1.0;[Impart, Instruct, Grant, Confer];[じゅ];[さず.ける, さず.かる];26;[Instruct];[じゅ];[さず];[Fingers, Accept];conférer, accorder recevoir une faveur, être gratifié
催;13;8.0;536.0;1.0;1.0;[Sponsor, Hold (a Meeting), Give (a Dinner)];[さい];[もよう.す, もよお.す];29;[Sponsor];[さい];[もよお];[Leader, Mountain, Turkey];organisation, sponsoring, promotion
細;11;2.0;537.0;2.0;2.0;[Dainty, Get Thin, Taper, Slender, Narrow, Detailed, Precise];[さい];[ほそ.い, ほそ.る, こま.か, こま.かい];17;[Thin];[さい];[ほそ, こま];[Thread, Rice Paddy];fin, étroit, ténu, s'amincir, minutieux
効;8;5.0;538.0;2.0;2.0;[Merit, Efficacy, Efficiency, Benefit];[こう];[き.く, ききめ, なら.う];25;[Effective];[こう];[き];[Mix, Power];produire de l'effet, être efficace
図;7;2.0;539.0;3.0;4.0;[Map, Drawing, Plan, Extraordinary, Audacious];[ず, と];[え, はか.る];5;[Diagram];[ず, と];[え, はか];[Mouth, Treasure, Ice];carte, plan, schéma comploter, calculer
週;11;2.0;540.0;4.0;4.0;[Week];[しゅう];[];7;[Week];[しゅう];[];[Scooter, Circumference];semaine
積;16;4.0;541.0;2.0;3.0;[Volume, Product (x*y), Acreage, Contents, Pile Up, Stack, Load, Amass];[せき];[つ.む, -づ.み, つ.もる, つ.もり];29;[Accumulate];[せき];[つ];[Grain, Blame];accumuler, amasser, charger s'accumuler, s'amasser intention
丸;3;2.0;542.0;2.0;2.0;[Round, Full (month), Perfection, -ship, Pills, Make Round, Roll Up, Curl Up, Seduce, Explain Away];[がん];[まる, まる.める, まる.い];2;[Circle, Circular, Round];[がん];[まる];[Nine, Drop];rond, circulaire, arrondir, suffixe pour les noms de bateaux
他;5;3.0;543.0;2.0;3.0;[Other, Another, The Others];[た];[ほか];4;[Other];[た];[ほか];[Leader, Alligator];autre
及;3;8.0;544.0;1.0;1.0;[Reach Out, Exert, Exercise, Cause];[きゅう];[およ.ぶ, およ.び, および, およ.ぼす];36;[Reach];[きゅう];[およ];[Escalator];atteindre, égaler, se prolonger, être capable de exercer
湾;12;8.0;545.0;2.0;2.0;[Gulf, Bay, Inlet];[わん];[いりえ];37;[Gulf];[わん];[];[Tsunami, Red, Bow];baie, golfe
録;16;4.0;546.0;2.0;2.0;[Record];[ろく];[しる.す, と.る];28;[Record];[ろく];[];[Gold, Wolverine, Water];archive, enregistrement
処;5;6.0;547.0;2.0;3.0;[Dispose, Manage, Deal With, Sentence, Condemn, Act, Behave, Place];[しょ];[ところ, -こ, お.る];28;[Deal With];[しょ];[ところ];[Winter, Table];être là, gérer, administrer, s'occuper de
省;9;4.0;548.0;2.0;2.0;[Focus, Government Ministry, Conserve];[せい, しょう];[かえり.みる, はぶ.く];21;[Conserve];[しょう, せい];[はぶ];[Few, Eye];évoquer le passé, tenir compte ministère omettre, supprimer
旧;5;5.0;549.0;2.0;2.0;[Old Times, Old Things, Old Friend, Former, Ex-];[きゅう];[ふる.い, もと];36;[Former];[きゅう];[];[Stick, Sun];ancien, d'autrefois, du passé
室;9;2.0;550.0;3.0;4.0;[Room, Apartment, Chamber, Greenhouse, Cellar];[しつ];[むろ];6;[Room];[しつ];[];[Roof, Ground, Private, Dirt];appartement, chambre, pièce
憲;16;6.0;551.0;1.0;1.0;[Constitution, Law];[けん];[];28;[Constitution];[けん];[];[Roof, Life, Net, Heart];loi, constitution
太;4;2.0;552.0;3.0;3.0;[Plump, Thick, Big Around];[たい, た];[ふと.い, ふと.る];3;[Fat];[たい, た];[ふと];[Big, Drop];gros, épais
橋;16;3.0;553.0;2.0;2.0;[Bridge];[きょう];[はし];13;[Bridge];[きょう];[はし];[Tree, Heaven, Mouth, Mustache];pont
歩;8;2.0;554.0;3.0;4.0;[Walk, Counter For Steps];[ほ, ぶ, ふ];[ある.く, あゆ.む];6;[Walk];[ほ];[ある, あゆ];[Stop, Small, Slide];marcher, marche, pas
離;19;8.0;555.0;1.0;1.0;[Detach, Separation, Disjoin, Digress];[り];[はな.れる, はな.す];31;[Detach];[り];[はな];[Rocket, Turkey];s'éloigner de, quitter, se détacher séparer, lacher
岸;8;3.0;556.0;2.0;2.0;[Beach];[がん];[きし];11;[Coast, Shore];[がん];[きし];[Mountain, Cliff, Dry];rive, rivage
客;9;3.0;557.0;2.0;3.0;[Guest, Visitor, Customer, Client];[きゃく, かく];[];9;[Guest, Customer];[きゃく];[];[Roof, Winter, Mouth];hôte, invité, visiteur
風;9;2.0;558.0;3.0;4.0;[Wind, Air, Style, Manner];[ふう, ふ];[かぜ, かざ-, -かぜ];7;[Wind, Style];[ふう, ふ];[かぜ];[Table, Slide, Insect];vent, air, manière, apparence
紙;10;2.0;559.0;3.0;4.0;[Paper];[し];[かみ];7;[Paper];[し];[かみ];[Thread, Clan];papier
激;16;6.0;560.0;1.0;1.0;[Violent, Get Excited, Enraged, Chafe, Incite];[げき];[はげ.しい];26;[Fierce, Violent];[げき];[はげ];[Tsunami, White, Direction, Winter];violent, furieux, intense
否;7;6.0;561.0;2.0;3.0;[Negate, No, Noes, Refuse, Decline, Deny];[ひ];[いな, いや];33;[No];[ひ];[いな, いや];[Not, Mouth];non, négation
周;8;4.0;562.0;2.0;2.0;[Circumference, Circuit, Lap];[しゅう];[まわ.り];14;[Circumference];[しゅう];[まわ];[Circumference];rotation, tour, environs, voisinage
師;10;5.0;563.0;2.0;3.0;[Expert, Teacher, Master, Model, Exemplar, Army (incl. Counter), War];[し];[いくさ];23;[Teacher, Expert, Master];[し];[];[Drop, Bear, Ground, Towel];maître, expert, professeur
摘;14;8.0;564.0;1.0;1.0;[Pinch, Pick, Pluck, Trim, Clip, Summarize];[てき];[つ.む];36;[Pluck];[てき];[つ];[Fingers, Mohawk];cueillir, pincer du bout des doigts
材;7;4.0;565.0;2.0;2.0;[Lumber, Log, Timber, Wood, Materials, Ingredients, Talent];[ざい];[];14;[Lumber, Material, Timber];[ざい];[];[Tree, Genius];matériaux, talent
登;12;3.0;566.0;2.0;3.0;[Ascend, Climb Up];[とう, と, どう, しょう, ちょう];[のぼ.る, あ.がる];12;[Climb];[とう, と];[のぼ];[Tent, Beans];grimper, gravir
系;7;6.0;567.0;1.0;1.0;[Lineage, System];[けい];[];30;[Lineage];[けい];[];[Lineage];système, lignée, groupe, descendance
批;7;6.0;568.0;2.0;1.0;[Criticism, Strike];[ひ];[];21;[Criticism];[ひ];[];[Fingers, Compare];critique, analyse
郎;9;8.0;569.0;1.0;1.0;[Son, Counter For Sons];[ろう, りょう];[おとこ];27;[Guy];[ろう];[];[Good, Building];homme, terminaison de prénom masculin
母;5;2.0;570.0;4.0;5.0;[Mother];[ぼ];[はは, も];3;[Mother, Mom, Mum];[ぼ];[はは];[Sun, Drop];mère
易;8;5.0;571.0;2.0;3.0;[Easy, Ready To, Simple, Fortune-telling, Divination];[えき, い];[やさ.しい, やす.い];19;[Easy];[い, えき];[やさ];[Easy];divination facile, simple
健;11;4.0;572.0;2.0;1.0;[Healthy, Health, Strength, Persistence];[けん];[すこ.やか];27;[Healthy];[けん];[];[Leader, Yoga, Brush];pleine forme, bonne santé, sain
黒;11;2.0;573.0;3.0;4.0;[Black];[こく];[くろ, くろ.ずむ, くろ.い];7;[Black];[こく];[くろ];[Black];noir
火;4;1.0;574.0;4.0;5.0;[Fire];[か];[ひ, -び, ほ-];2;[Fire];[か];[ひ, ほ];[Fire];feu, flamme
戸;4;2.0;575.0;2.0;2.0;[Door, Counter For Houses, Door Radical (no. 63)];[こ];[と];3;[Door];[こ];[と];[Door];porte, maison
速;10;3.0;576.0;2.0;3.0;[Quick, Fast];[そく];[はや.い, はや-, はや.める, すみ.やか];10;[Fast];[そく];[はや];[Scooter, Bundle];rapide, tôt
存;6;6.0;577.0;2.0;3.0;[Exist, Suppose, Be Aware Of, Believe, Feel];[そん, ぞん];[ながら.える, あ.る, たも.つ, と.う];16;[Exist, Suppose];[そん, ぞん];[];[Narwhal, Stick, Child];exister, croire, savoir, penser
花;7;1.0;578.0;4.0;4.0;[Flower];[か, け];[はな];4;[Flower];[か, け];[はな];[Flowers, Leader, Spoon];fleur
春;9;2.0;579.0;3.0;4.0;[Springtime, Spring (season)];[しゅん];[はる];15;[Spring];[しゅん];[はる];[Spring, Sun];printemps
飛;9;4.0;580.0;2.0;3.0;[Fly, Skip (pages), Scatter];[ひ];[と.ぶ, と.ばす, -と.ばす];20;[Fly];[ひ];[と];[Fly];voler (dans les airs)
殺;10;4.0;581.0;2.0;3.0;[Kill, Murder, Butcher, Slice Off, Split, Diminish, Reduce, Spoil];[さつ, さい, せつ];[ころ.す, -ごろ.し, そ.ぐ];13;[Kill];[さつ];[ころ];[Treasure, Tree, Weapon];tuer
央;5;3.0;582.0;2.0;2.0;[Center, Middle];[おう];[];4;[Center, Centre];[おう];[];[Big, Head];centre, milieu
券;8;5.0;583.0;2.0;2.0;[Ticket];[けん];[];28;[Ticket];[けん];[];[Gladiator, Sword];ticket, certificat
赤;7;1.0;584.0;3.0;4.0;[Red];[せき, しゃく];[あか, あか-, あか.い, あか.らむ, あか.らめる];4;[Red];[せき];[あか];[Red];rouge, rougir, faire rougir
号;5;3.0;585.0;2.0;3.0;[Nickname, Number, Item, Title, Pseudonym, Name, Call];[ごう];[さけ.ぶ, よびな];4;[Number];[ごう];[];[Mouth, Ground, Prison];numéro, nombre
単;9;4.0;586.0;2.0;3.0;[Simple, One, Single, Merely];[たん];[ひとえ];15;[Simple];[たん];[];[Simple];simple, non-complexe
盟;13;6.0;587.0;1.0;1.0;[Alliance, Oath];[めい];[];36;[Alliance];[めい];[];[Bright, Plate];pacte, alliance
座;10;6.0;588.0;2.0;3.0;[Squat, Seat, Cushion, Gathering, Sit];[ざ];[すわ.る];18;[Sit, Seat];[ざ];[すわ];[Canopy, Person, Dirt];s'asseoir
青;8;1.0;589.0;3.0;4.0;[Blue, Green];[せい, しょう];[あお, あお-, あお.い];5;[Blue];[せい, しょう];[あお];[Blue];bleu, vert, inexpérience
破;10;5.0;590.0;2.0;3.0;[Rend, Rip, Tear, Break, Destroy, Defeat, Frustrate];[は];[やぶ.る, やぶ.れる, わ.れる];35;[Tear];[は];[やぶ];[Stone, Skin];déchirer, détruire, rompre être déchiré
編;15;5.0;591.0;2.0;2.0;[Compilation, Knit, Plait, Braid, Twist, Editing, Completed Poem, Part Of A Book];[へん];[あ.む, -あ.み];31;[Knit];[へん];[あ];[Thread, Library];tisser, tricoter, composer
捜;10;8.0;592.0;2.0;2.0;[Search, Look For, Locate];[そう, しゅ, しゅう];[さが.す];25;[Search];[そう];[さが];[Fingers, Humble, Stool];rechercher, enquêter, chasser
竹;6;1.0;593.0;2.0;2.0;[Bamboo];[ちく];[たけ];4;[Bamboo];[];[たけ];[Bamboo];bambou
除;10;6.0;594.0;2.0;3.0;[Exclude, Division (x/3), Remove, Abolish, Cancel, Except];[じょ, じ];[のぞ.く, -よ.け];31;[Exclude, Remove];[じょ, じ];[のぞ];[Building, Surplus];exclure, ôter, écarter
完;7;4.0;595.0;2.0;3.0;[Perfect, Completion, End];[かん];[];14;[Perfect];[かん];[];[Roof, Origin];totalité, complétitude, achèvement
降;10;6.0;596.0;2.0;3.0;[Descend, Precipitate, Fall, Surrender];[こう, ご];[お.りる, お.ろす, ふ.る, ふ.り, くだ.る, くだ.す];34;[Descend];[こう];[お, ふ];[Building, Winter, Cow];descendre tomber (pluie, neige, ...)
超;12;8.0;597.0;2.0;2.0;[Transcend, Super-, Ultra-];[ちょう];[こ.える, こ.す];36;[Ultra, Super];[ちょう];[こ];[Run, Call];surpasser, exceller, dépasser
責;11;5.0;598.0;2.0;3.0;[Blame, Condemn, Censure];[せき];[せ.める];21;[Blame];[せき];[せ];[Life, Shellfish];accuser, réprimander, blamer, torturer
並;8;6.0;599.0;2.0;2.0;[Row, And, Besides, As Well As, Line Up, Rank With, Rival, Equal];[へい, ほう];[な.み, なみ, なら.べる, なら.ぶ, なら.びに];28;[Line Up];[へい];[なら, なみ];[Horns, Ground, Spikes];aligné en rang, arranger
療;17;8.0;600.0;2.0;2.0;[Heal, Cure];[りょう];[];36;[Heal];[りょう];[];[Sick, Charcoal];soin, traitement
従;10;6.0;601.0;1.0;1.0;[Accompany, Obey, Submit To, Comply, Follow, Secondary, Incidental, Subordinate];[じゅう, しょう, じゅ];[したが.う, したが.える, より];26;[Obey, Accompany, Follow];[じゅう];[したが];[Loiter, Horns, Correct];suivre, se conformer, obéir à  être accompagné, subjuguer
右;5;1.0;602.0;4.0;5.0;[Right];[う, ゆう];[みぎ];2;[Right];[う, ゆう];[みぎ];[Narwhal, Mouth];la droite
修;10;5.0;603.0;2.0;1.0;[Discipline, Conduct Oneself Well, Study, Master];[しゅう, しゅ];[おさ.める, おさ.まる];28;[Discipline];[しゅう];[おさ];[Leader, Stick, Winter, Hair];étudier, maîtriser bien se tenir, se conduire, se maîtriser
捕;10;8.0;604.0;2.0;3.0;[Catch, Capture];[ほ];[と.らえる, と.らわれる, と.る, とら.える, とら.われる, つか.まえる, つか.まる];25;[Catch];[ほ];[つか, とら];[Fingers, Wedding];saisir, capturer, attraper
隊;12;4.0;605.0;1.0;1.0;[Regiment, Party, Company, Squad];[たい];[];28;[Squad];[たい];[];[Building, Horns, Pig];groupe, unité, bande
